6----,6DDDD,6dddd,1.mp3,A0
6#----,6HDDDD,6hdddd,2.mp3,A#0/Bb0
7----,7DDDD,7dddd,3.mp3,B0
1---,1DDD,1ddd,4.mp3,C1
1#---,1HDDD,1hddd,5.mp3,C#1/Db1
2---,2DDD,2ddd,6.mp3,D1
2#---,2HDDD,2hddd,7.mp3,D#1/Eb1
3---,3DDD,3ddd,8.mp3,E1
4---,4DDD,4ddd,9.mp3,F1
4#---,4HDDD,4hddd,10.mp3,F#1/Gb1
5---,5DDD,5ddd,11.mp3,G1
5#---,5HDDD,5hddd,12.mp3,G#1/Ab1
6---,6DDD,6ddd,13.mp3,A1
6#---,6HDDD,6hddd,14.mp3,A#1/Bb1
7---,7DDD,7ddd,15.mp3,B1
1--,1DD,1dd,16.mp3,C2
1#--,1HDD,1hdd,17.mp3,C#2/Db2
2--,2DD,2dd,18.mp3,D2
2#--,2HDD,2hdd,19.mp3,D#2/Eb2
3--,3DD,3dd,20.mp3,E2
4--,4DD,4dd,21.mp3,F2
4#--,4HDD,4hdd,22.mp3,F#2/Gb2
5--,5DD,5dd,23.mp3,G2
5#--,5HDD,5hdd,24.mp3,G#2/Ab2
6--,6DD,6dd,25.mp3,A2
6#--,6HDD,6hdd,26.mp3,A#2/Bb2
7--,7DD,7dd,27.mp3,B2
1-,1D,1d,28.mp3,C3
1#-,1HD,1hd,29.mp3,C#3/Db3
2-,2D,2d,30.mp3,D3
2#-,2HD,2hd,31.mp3,D#3/Eb3
3-,3D,3d,32.mp3,E3
4-,4D,4d,33.mp3,F3
4#-,4HD,4hd,34.mp3,F#3/Gb3
5-,5D,5d,35.mp3,G3
5#-,5HD,5hd,36.mp3,G#3/Ab3
6-,6D,6d,37.mp3,A3
6#-,6HD,6hd,38.mp3,A#3/Bb3
7-,7D,7d,39.mp3,B3
1,1,1,40.mp3,C4
1#,1H,1h,41.mp3,C#4/Db4
2,2,2,42.mp3,D4
2#,2H,2h,43.mp3,D#4/Eb4
3,3,3,44.mp3,E4
4,4,4,45.mp3,F4
4#,4H,4h,46.mp3,F#4/Gb4
5,5,5,47.mp3,G4
5#,5H,5h,48.mp3,G#4/Ab4
6,6,6,49.mp3,A4
6#,6H,6h,50.mp3,A#4/Bb4
7,7,7,51.mp3,B4
1+,1U,1u,52.mp3,C5
1#+,1HU,1hu,53.mp3,C#5/Db5
2+,2U,2u,54.mp3,D5
2#+,2HU,2hu,55.mp3,D#5/Eb5
3+,3U,3u,56.mp3,E5
4+,4U,4u,57.mp3,F5
4#+,4HU,4hu,58.mp3,F#5/Gb5
5+,5U,5u,59.mp3,G5
5#+,5HU,5hu,60.mp3,G#5/Ab5
6+,6U,6u,61.mp3,A5
6#+,6HU,6hu,62.mp3,A#5/Bb5
7+,7U,7u,63.mp3,B5
1++,1UU,1uu,64.mp3,C6
1#++,1HUU,1huu,65.mp3,C#6/Db6
2++,2UU,2uu,66.mp3,D6
2#++,2HUU,2huu,67.mp3,D#6/Eb6
3++,3UU,3uu,68.mp3,E6
4++,4UU,4uu,69.mp3,F6
4#++,4HUU,4huu,70.mp3,F#6/Gb6
5++,5UU,5uu,71.mp3,G6
5#++,5HUU,5huu,72.mp3,G#6/Ab6
6++,6UU,6uu,73.mp3,A6
6#++,6HUU,6huu,74.mp3,A#6/Bb6
7++,7UU,7uu,75.mp3,B6
1+++,1UUU,1uuu,76.mp3,C7
1#+++,1HUUU,1huuu,77.mp3,C#7/Db7
2+++,2UUU,2uuu,78.mp3,D7
2#+++,2HUUU,2huuu,79.mp3,D#7/Eb7
3+++,3UUU,3uuu,80.mp3,E7
4+++,4UUU,4uuu,81.mp3,F7
4#+++,4HUUU,4huuu,82.mp3,F#7/Gb7
5+++,5UUU,5uuu,83.mp3,G7
5#+++,5HUUU,5huuu,84.mp3,G#7/Ab7
6+++,6UUU,6uuu,85.mp3,A7
6#+++,6HUUU,6huuu,86.mp3,A#7/Bb7
7+++,7UUU,7uuu,87.mp3,B7
8++++,8UUUU,8uuuu,88.mp3,C8