6----,6DDDD,6dddd,1.ogg,A0
6#----,6HDDDD,6hdddd,2.ogg,A#0/Bb0
7----,7DDDD,7dddd,3.ogg,B0
1---,1DDD,1ddd,4.ogg,C1
1#---,1HDDD,1hddd,5.ogg,C#1/Db1
2---,2DDD,2ddd,6.ogg,D1
2#---,2HDDD,2hddd,7.ogg,D#1/Eb1
3---,3DDD,3ddd,8.ogg,E1
4---,4DDD,4ddd,9.ogg,F1
4#---,4HDDD,4hddd,10.ogg,F#1/Gb1
5---,5DDD,5ddd,11.ogg,G1
5#---,5HDDD,5hddd,12.ogg,G#1/Ab1
6---,6DDD,6ddd,13.ogg,A1
6#---,6HDDD,6hddd,14.ogg,A#1/Bb1
7---,7DDD,7ddd,15.ogg,B1
1--,1DD,1dd,16.ogg,C2
1#--,1HDD,1hdd,17.ogg,C#2/Db2
2--,2DD,2dd,18.ogg,D2
2#--,2HDD,2hdd,19.ogg,D#2/Eb2
3--,3DD,3dd,20.ogg,E2
4--,4DD,4dd,21.ogg,F2
4#--,4HDD,4hdd,22.ogg,F#2/Gb2
5--,5DD,5dd,23.ogg,G2
5#--,5HDD,5hdd,24.ogg,G#2/Ab2
6--,6DD,6dd,25.ogg,A2
6#--,6HDD,6hdd,26.ogg,A#2/Bb2
7--,7DD,7dd,27.ogg,B2
1-,1D,1d,28.ogg,C3
1#-,1HD,1hd,29.ogg,C#3/Db3
2-,2D,2d,30.ogg,D3
2#-,2HD,2hd,31.ogg,D#3/Eb3
3-,3D,3d,32.ogg,E3
4-,4D,4d,33.ogg,F3
4#-,4HD,4hd,34.ogg,F#3/Gb3
5-,5D,5d,35.ogg,G3
5#-,5HD,5hd,36.ogg,G#3/Ab3
6-,6D,6d,37.ogg,A3
6#-,6HD,6hd,38.ogg,A#3/Bb3
7-,7D,7d,39.ogg,B3
1,1,1,40.ogg,C4
1#,1H,1h,41.ogg,C#4/Db4
2,2,2,42.ogg,D4
2#,2H,2h,43.ogg,D#4/Eb4
3,3,3,44.ogg,E4
4,4,4,45.ogg,F4
4#,4H,4h,46.ogg,F#4/Gb4
5,5,5,47.ogg,G4
5#,5H,5h,48.ogg,G#4/Ab4
6,6,6,49.ogg,A4
6#,6H,6h,50.ogg,A#4/Bb4
7,7,7,51.ogg,B4
1+,1U,1u,52.ogg,C5
1#+,1HU,1hu,53.ogg,C#5/Db5
2+,2U,2u,54.ogg,D5
2#+,2HU,2hu,55.ogg,D#5/Eb5
3+,3U,3u,56.ogg,E5
4+,4U,4u,57.ogg,F5
4#+,4HU,4hu,58.ogg,F#5/Gb5
5+,5U,5u,59.ogg,G5
5#+,5HU,5hu,60.ogg,G#5/Ab5
6+,6U,6u,61.ogg,A5
6#+,6HU,6hu,62.ogg,A#5/Bb5
7+,7U,7u,63.ogg,B5
1++,1UU,1uu,64.ogg,C6
1#++,1HUU,1huu,65.ogg,C#6/Db6
2++,2UU,2uu,66.ogg,D6
2#++,2HUU,2huu,67.ogg,D#6/Eb6
3++,3UU,3uu,68.ogg,E6
4++,4UU,4uu,69.ogg,F6
4#++,4HUU,4huu,70.ogg,F#6/Gb6
5++,5UU,5uu,71.ogg,G6
5#++,5HUU,5huu,72.ogg,G#6/Ab6
6++,6UU,6uu,73.ogg,A6
6#++,6HUU,6huu,74.ogg,A#6/Bb6
7++,7UU,7uu,75.ogg,B6
1+++,1UUU,1uuu,76.ogg,C7
1#+++,1HUUU,1huuu,77.ogg,C#7/Db7
2+++,2UUU,2uuu,78.ogg,D7
2#+++,2HUUU,2huuu,79.ogg,D#7/Eb7
3+++,3UUU,3uuu,80.ogg,E7
4+++,4UUU,4uuu,81.ogg,F7
4#+++,4HUUU,4huuu,82.ogg,F#7/Gb7
5+++,5UUU,5uuu,83.ogg,G7
5#+++,5HUUU,5huuu,84.ogg,G#7/Ab7
6+++,6UUU,6uuu,85.ogg,A7
6#+++,6HUUU,6huuu,86.ogg,A#7/Bb7
7+++,7UUU,7uuu,87.ogg,B7
8++++,8UUUU,8uuuu,88.ogg,C8