6----,6DDDD,6dddd,1.wav,A0
6#----,6HDDDD,6hdddd,2.wav,A#0/Bb0
7----,7DDDD,7dddd,3.wav,B0
1---,1DDD,1ddd,4.wav,C1
1#---,1HDDD,1hddd,5.wav,C#1/Db1
2---,2DDD,2ddd,6.wav,D1
2#---,2HDDD,2hddd,7.wav,D#1/Eb1
3---,3DDD,3ddd,8.wav,E1
4---,4DDD,4ddd,9.wav,F1
4#---,4HDDD,4hddd,10.wav,F#1/Gb1
5---,5DDD,5ddd,11.wav,G1
5#---,5HDDD,5hddd,12.wav,G#1/Ab1
6---,6DDD,6ddd,13.wav,A1
6#---,6HDDD,6hddd,14.wav,A#1/Bb1
7---,7DDD,7ddd,15.wav,B1
1--,1DD,1dd,16.wav,C2
1#--,1HDD,1hdd,17.wav,C#2/Db2
2--,2DD,2dd,18.wav,D2
2#--,2HDD,2hdd,19.wav,D#2/Eb2
3--,3DD,3dd,20.wav,E2
4--,4DD,4dd,21.wav,F2
4#--,4HDD,4hdd,22.wav,F#2/Gb2
5--,5DD,5dd,23.wav,G2
5#--,5HDD,5hdd,24.wav,G#2/Ab2
6--,6DD,6dd,25.wav,A2
6#--,6HDD,6hdd,26.wav,A#2/Bb2
7--,7DD,7dd,27.wav,B2
1-,1D,1d,28.wav,C3
1#-,1HD,1hd,29.wav,C#3/Db3
2-,2D,2d,30.wav,D3
2#-,2HD,2hd,31.wav,D#3/Eb3
3-,3D,3d,32.wav,E3
4-,4D,4d,33.wav,F3
4#-,4HD,4hd,34.wav,F#3/Gb3
5-,5D,5d,35.wav,G3
5#-,5HD,5hd,36.wav,G#3/Ab3
6-,6D,6d,37.wav,A3
6#-,6HD,6hd,38.wav,A#3/Bb3
7-,7D,7d,39.wav,B3
1,1,1,40.wav,C4
1#,1H,1h,41.wav,C#4/Db4
2,2,2,42.wav,D4
2#,2H,2h,43.wav,D#4/Eb4
3,3,3,44.wav,E4
4,4,4,45.wav,F4
4#,4H,4h,46.wav,F#4/Gb4
5,5,5,47.wav,G4
5#,5H,5h,48.wav,G#4/Ab4
6,6,6,49.wav,A4
6#,6H,6h,50.wav,A#4/Bb4
7,7,7,51.wav,B4
1+,1U,1u,52.wav,C5
1#+,1HU,1hu,53.wav,C#5/Db5
2+,2U,2u,54.wav,D5
2#+,2HU,2hu,55.wav,D#5/Eb5
3+,3U,3u,56.wav,E5
4+,4U,4u,57.wav,F5
4#+,4HU,4hu,58.wav,F#5/Gb5
5+,5U,5u,59.wav,G5
5#+,5HU,5hu,60.wav,G#5/Ab5
6+,6U,6u,61.wav,A5
6#+,6HU,6hu,62.wav,A#5/Bb5
7+,7U,7u,63.wav,B5
1++,1UU,1uu,64.wav,C6
1#++,1HUU,1huu,65.wav,C#6/Db6
2++,2UU,2uu,66.wav,D6
2#++,2HUU,2huu,67.wav,D#6/Eb6
3++,3UU,3uu,68.wav,E6
4++,4UU,4uu,69.wav,F6
4#++,4HUU,4huu,70.wav,F#6/Gb6
5++,5UU,5uu,71.wav,G6
5#++,5HUU,5huu,72.wav,G#6/Ab6
6++,6UU,6uu,73.wav,A6
6#++,6HUU,6huu,74.wav,A#6/Bb6
7++,7UU,7uu,75.wav,B6
1+++,1UUU,1uuu,76.wav,C7
1#+++,1HUUU,1huuu,77.wav,C#7/Db7
2+++,2UUU,2uuu,78.wav,D7
2#+++,2HUUU,2huuu,79.wav,D#7/Eb7
3+++,3UUU,3uuu,80.wav,E7
4+++,4UUU,4uuu,81.wav,F7
4#+++,4HUUU,4huuu,82.wav,F#7/Gb7
5+++,5UUU,5uuu,83.wav,G7
5#+++,5HUUU,5huuu,84.wav,G#7/Ab7
6+++,6UUU,6uuu,85.wav,A7
6#+++,6HUUU,6huuu,86.wav,A#7/Bb7
7+++,7UUU,7uuu,87.wav,B7
8++++,8UUUU,8uuuu,88.wav,C8